Date : 2021-08-25 18:11:26
Directory : c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0
Total : 1077 files,  76948 codes, 17749 comments, 11184 blanks, all 105881 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\htc.py                                                                           | Python           |          9 |          2 |          5 |         16 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\kd_one_stage.py                                                                  | Python           |         56 |         36 |          9 |        101 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\mask_rcnn.py                                                                     | Python           |         22 |          1 |          4 |         27 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\mask_scoring_rcnn.py                                                             | Python           |         22 |          4 |          4 |         30 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\nasfcos.py                                                                       | Python           |         14 |          4 |          4 |         22 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\paa.py                                                                           | Python           |         14 |          1 |          4 |         19 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\point_rend.py                                                                    | Python           |         22 |          6 |          4 |         32 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\reppoints_detector.py                                                            | Python           |         15 |          5 |          4 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\retinanet.py                                                                     | Python           |         14 |          1 |          4 |         19 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\rpn.py                                                                           | Python           |         78 |         63 |         14 |        155 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\scnet.py                                                                         | Python           |          6 |          1 |          4 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\single_stage.py                                                                  | Python           |         77 |         74 |         15 |        166 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\sparse_rcnn.py                                                                   | Python           |         58 |         44 |          9 |        111 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\trident_faster_rcnn.py                                                           | Python           |         51 |          8 |         10 |         69 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\two_stage.py                                                                     | Python           |        121 |         53 |         28 |        202 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\vfnet.py                                                                         | Python           |         14 |          2 |          4 |         20 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\yolact.py                                                                        | Python           |         71 |         29 |         17 |        117 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\yolo.py                                                                          | Python           |         14 |          1 |          5 |         20 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\detectors\yolof.py                                                                         | Python           |         14 |          1 |          4 |         19 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\__init__.py                                                                         | Python           |         29 |          0 |          2 |         31 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\accuracy.py                                                                         | Python           |         35 |         36 |          8 |         79 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\ae_loss.py                                                                          | Python           |         49 |         35 |         19 |        103 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\balanced_l1_loss.py                                                                 | Python           |         58 |         53 |         10 |        121 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\cross_entropy_loss.py                                                               | Python           |        101 |         93 |         21 |        215 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\focal_loss.py                                                                       | Python           |         93 |         77 |         12 |        182 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\gaussian_focal_loss.py                                                              | Python           |         43 |         41 |          8 |         92 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\gfocal_loss.py                                                                      | Python           |         89 |         83 |         17 |        189 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\ghm_loss.py                                                                         | Python           |         98 |         56 |         19 |        173 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\iou_loss.py                                                                         | Python           |        283 |        110 |         54 |        447 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\kd_loss.py                                                                          | Python           |         45 |         30 |         13 |         88 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\mse_loss.py                                                                         | Python           |         21 |         21 |          8 |         50 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\pisa_loss.py                                                                        | Python           |        112 |         52 |         20 |        184 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\seesaw_loss.py                                                                      | Python           |        141 |         96 |         25 |        262 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\smooth_l1_loss.py                                                                   | Python           |         64 |         62 |         14 |        140 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\utils.py                                                                            | Python           |         35 |         55 |         11 |        101 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\losses\varifocal_loss.py                                                                   | Python           |         70 |         56 |          8 |        134 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\__init__.py                                                                          | Python           |         17 |          0 |          2 |         19 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\bfp.py                                                                               | Python           |         64 |         24 |         14 |        102 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\channel_mapper.py                                                                    | Python           |         60 |         34 |          6 |        100 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\ct_resnet_neck.py                                                                    | Python           |         67 |         17 |         10 |         94 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\dilated_encoder.py                                                                   | Python           |         71 |         25 |         12 |        108 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\fpg.py                                                                               | Python           |        287 |         84 |         35 |        406 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\fpn.py                                                                               | Python           |        141 |        117 |         16 |        274 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\fpn_carafe.py                                                                        | Python           |        209 |         48 |         18 |        275 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\hrfpn.py                                                                             | Python           |         71 |         19 |         10 |        100 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\nas_fpn.py                                                                           | Python           |        104 |         41 |         13 |        158 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\nasfcos_fpn.py                                                                       | Python           |        126 |         25 |         18 |        169 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\pafpn.py                                                                             | Python           |        105 |         46 |         12 |        163 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\rfp.py                                                                               | Python           |         89 |         35 |         11 |        135 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\necks\yolo_neck.py                                                                         | Python           |         67 |         54 |         19 |        140 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\__init__.py                                                                      | Python           |         35 |          0 |          2 |         37 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\base_roi_head.py                                                                 | Python           |         69 |         15 |         19 |        103 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\__init__.py                                                           | Python           |         12 |          0 |          2 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\bbox_head.py                                                          | Python           |        329 |        201 |         40 |        570 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\convfc_bbox_head.py                                                   | Python           |        176 |         21 |         25 |        222 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\dii_head.py                                                           | Python           |        215 |        182 |         25 |        422 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\double_bbox_head.py                                                   | Python           |        118 |         32 |         28 |        178 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\sabl_head.py                                                          | Python           |        423 |        108 |         53 |        584 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\bbox_heads\scnet_bbox_head.py                                                    | Python           |         43 |         18 |         16 |         77 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\cascade_roi_head.py                                                              | Python           |        382 |         67 |         48 |        497 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\double_roi_head.py                                                               | Python           |         23 |          5 |          6 |         34 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\dynamic_roi_head.py                                                              | Python           |         94 |         46 |         15 |        155 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\grid_roi_head.py                                                                 | Python           |        122 |         21 |         22 |        165 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\htc_roi_head.py                                                                  | Python           |        455 |         72 |         52 |        579 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\__init__.py                                                           | Python           |         16 |          0 |          2 |         18 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\coarse_mask_head.py                                                   | Python           |         72 |         15 |         13 |        100 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\fcn_mask_head.py                                                      | Python           |        251 |        127 |         33 |        411 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\feature_relay_head.py                                                 | Python           |         33 |         12 |          8 |         53 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\fused_semantic_head.py                                                | Python           |         83 |         12 |         12 |        107 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\global_context_head.py                                                | Python           |         70 |         19 |         12 |        101 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\grid_head.py                                                          | Python           |        289 |         35 |         39 |        363 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\htc_mask_head.py                                                      | Python           |         33 |          0 |          6 |         39 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\mask_point_head.py                                                    | Python           |        152 |        127 |         22 |        301 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\maskiou_head.py                                                       | Python           |        122 |         39 |         22 |        183 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\scnet_mask_head.py                                                    | Python           |         18 |          6 |          4 |         28 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_heads\scnet_semantic_head.py                                                | Python           |         18 |          6 |          4 |         28 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\mask_scoring_roi_head.py                                                         | Python           |         87 |         15 |         11 |        113 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\pisa_roi_head.py                                                                 | Python           |        110 |         33 |         17 |        160 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\point_rend_roi_head.py                                                           | Python           |        170 |         20 |         20 |        210 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\roi_extractors\__init__.py                                                       | Python           |          4 |          0 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\roi_extractors\base_roi_extractor.py                                             | Python           |         43 |         34 |         11 |         88 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\roi_extractors\generic_roi_extractor.py                                          | Python           |         48 |         23 |         13 |         84 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\roi_extractors\single_level_roi_extractor.py                                     | Python           |         64 |         40 |         11 |        115 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\scnet_roi_head.py                                                                | Python           |        436 |         67 |         59 |        562 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\shared_heads\__init__.py                                                         | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\shared_heads\res_layer.py                                                        | Python           |         69 |          0 |         11 |         80 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\sparse_roi_head.py                                                               | Python           |        186 |        113 |         20 |        319 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\standard_roi_head.py                                                             | Python           |        254 |         78 |         41 |        373 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\test_mixins.py                                                                   | Python           |        219 |         38 |         27 |        284 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\roi_heads\trident_roi_head.py                                                              | Python           |         89 |         19 |         12 |        120 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\__init__.py                                                                          | Python           |         19 |          0 |          2 |         21 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\builder.py                                                                           | Python           |         23 |         13 |         11 |         47 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\gaussian_target.py                                                                   | Python           |         74 |        168 |         26 |        268 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\inverted_residual.py                                                                 | Python           |         78 |         28 |         18 |        124 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\make_divisible.py                                                                    | Python           |          7 |         19 |          2 |         28 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\normed_predictor.py                                                                  | Python           |         57 |         18 |         13 |         88 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\positional_encoding.py                                                               | Python           |         87 |         59 |         12 |        158 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\res_layer.py                                                                         | Python           |        144 |         26 |         20 |        190 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\se_layer.py                                                                          | Python           |         36 |         17 |          5 |         58 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\models\utils\transformer.py                                                                       | Python           |        444 |        280 |         70 |        794 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\__init__.py                                                                                 | Python           |          3 |          0 |          2 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\collect_env.py                                                                              | Python           |         10 |          1 |          6 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\contextmanagers.py                                                                          | Python           |         91 |         10 |         21 |        122 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\logger.py                                                                                   | Python           |          5 |         10 |          5 |         20 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\profiling.py                                                                                | Python           |         31 |          5 |          4 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\util_mixins.py                                                                              | Python           |         24 |         75 |          6 |        105 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\utils\util_random.py                                                                              | Python           |          9 |         21 |          4 |         34 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\mmdet\version.py                                                                                        | Python           |         13 |          1 |          6 |         20 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_datasets\test_coco_dataset.py                                                      | Python           |         45 |          1 |         12 |         58 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_datasets\test_common.py                                                            | Python           |        277 |         27 |         57 |        361 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_datasets\test_custom_dataset.py                                                    | Python           |         68 |          5 |         16 |         89 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_datasets\test_dataset_wrapper.py                                                   | Python           |         70 |          0 |         11 |         81 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_datasets\test_xml_dataset.py                                                       | Python           |         15 |          2 |          6 |         23 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_formatting.py                                                       | Python           |         19 |          0 |          5 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_loading.py                                                          | Python           |         75 |          3 |         13 |         91 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_sampler.py                                                          | Python           |        275 |          3 |         51 |        329 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_transform\test_img_augment.py                                       | Python           |        145 |         29 |         30 |        204 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_transform\test_models_aug_test.py                                   | Python           |         89 |         12 |         28 |        129 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_transform\test_rotate.py                                            | Python           |        175 |         26 |         24 |        225 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_transform\test_shear.py                                             | Python           |        171 |         23 |         24 |        218 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_transform\test_transform.py                                         | Python           |        638 |         55 |        100 |        793 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_pipelines\test_transform\test_translate.py                                         | Python           |        416 |         47 |         53 |        516 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_data\test_utils.py                                                                           | Python           |         71 |          2 |          7 |         80 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_metrics\test_box_overlap.py                                                                  | Python           |         82 |         11 |         13 |        106 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_metrics\test_losses.py                                                                       | Python           |        179 |         28 |         34 |        241 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\__init__.py                                                            | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_hourglass.py                                                      | Python           |         30 |          5 |         10 |         45 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_mobilenet_v2.py                                                   | Python           |        145 |         12 |         26 |        183 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_regnet.py                                                         | Python           |         48 |          3 |          8 |         59 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_renext.py                                                         | Python           |         84 |          8 |         14 |        106 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_res2net.py                                                        | Python           |         43 |          8 |         12 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_resnest.py                                                        | Python           |         29 |          5 |         10 |         44 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_resnet.py                                                         | Python           |        526 |         61 |         80 |        667 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\test_trident_resnet.py                                                 | Python           |        145 |         16 |         20 |        181 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_backbones\utils.py                                                               | Python           |         21 |          3 |          8 |         32 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_anchor_head.py                                                  | Python           |         54 |          7 |          9 |         70 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_atss_head.py                                                    | Python           |         65 |          6 |          6 |         77 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_autoassign_head.py                                              | Python           |         80 |          6 |          6 |         92 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_centernet_head.py                                               | Python           |         90 |          7 |         10 |        107 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_corner_head.py                                                  | Python           |        134 |          8 |         25 |        167 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_dense_heads_attr.py                                             | Python           |         32 |          5 |          7 |         44 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_detr_head.py                                                    | Python           |         88 |          8 |          8 |        104 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_fcos_head.py                                                    | Python           |         52 |          7 |          5 |         64 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_fsaf_head.py                                                    | Python           |         66 |          7 |          9 |         82 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_ga_anchor_head.py                                               | Python           |         72 |          8 |         11 |         91 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_gfl_head.py                                                     | Python           |         62 |          6 |          6 |         74 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_ld_head.py                                                      | Python           |         93 |         11 |         17 |        121 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_paa_head.py                                                     | Python           |        104 |          7 |         12 |        123 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_pisa_head.py                                                    | Python           |        194 |         22 |         29 |        245 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_sabl_retina_head.py                                             | Python           |         60 |          8 |          8 |         76 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_vfnet_head.py                                                   | Python           |         50 |          8 |          5 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_yolact_head.py                                                  | Python           |        121 |          8 |          8 |        137 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_dense_heads\test_yolof_head.py                                                   | Python           |         64 |          6 |          6 |         76 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_forward.py                                                                       | Python           |        479 |         51 |         93 |        623 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_loss.py                                                                          | Python           |         12 |          0 |          5 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_necks.py                                                                         | Python           |        275 |         27 |         39 |        341 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_roi_heads\__init__.py                                                            | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_roi_heads\test_bbox_head.py                                                      | Python           |        194 |         23 |         34 |        251 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_roi_heads\test_mask_head.py                                                      | Python           |         50 |          6 |         14 |         70 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_roi_heads\test_roi_extractor.py                                                  | Python           |         84 |          6 |         24 |        114 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_roi_heads\test_sabl_bbox_head.py                                                 | Python           |         55 |          6 |         16 |         77 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_roi_heads\utils.py                                                               | Python           |         32 |          1 |          5 |         38 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_utils\test_inverted_residual.py                                                  | Python           |         51 |         11 |         14 |         76 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_utils\test_position_encoding.py                                                  | Python           |         29 |          2 |          8 |         39 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_utils\test_se_layer.py                                                           | Python           |         14 |          3 |          7 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_models\test_utils\test_transformer.py                                                        | Python           |        101 |          1 |          9 |        111 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_onnx\__init__.py                                                                             | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_onnx\test_head.py                                                                            | Python           |        266 |         47 |         69 |        382 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_onnx\test_neck.py                                                                            | Python           |        121 |          9 |         33 |        163 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\tests\test_onnx\utils.py                                                                                | Python           |         79 |         38 |         20 |        137 |
